"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"2020","Dec11_2020_0400","12","12","L1","L2","L2","M1","L2","M1","L2","N","M1","L2","N","M1","L2","N","M1","L2","N","L1","L2","N","L1","L2","N","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","13","13","L2","M1","L2","M1","L2","N","M1","L2","N","M1","N","L2","M1","L2","N","M1","L2","N","K","L1","N","L2","K","L2","N","K","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","14","14","L2","L2","L2","L2","M1","L2","M1","L2","M2","L2","M2","L2","N","M1","L2","N","N","L2","M1","N","L2","K","M1","L2","K","L2","N","L2","M1","N","L2","L1","L2","N","M2","N","L2","M1","N","L2","K","M1","L2","N","K","M2","L2","N","K","M1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","15","15","L1","M1","L2","L2","L2","M1","L2","M2","L2","N","K","M2","N","L2","K","M2","L2","N","K","M1","L2","L2","N","L1","M1","N","L2","L2","N","K","L2","N","K","L2","N","K","L2","N","K","M1","L2","N","K","M1","N","L2","K","M1","N","L2","K","M1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","16","16","L2","M2","L2","M1","L2","N","K","L2","M1","L2","N","L1","L2","N","L2","M2","L2","N","M1","L2","N","K","M2","L2","N","K","M1","N","L2","M2","N","L2","K","M1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","17","17","L2","M2","L2","M1","N","L2","M1","L2","N","M2","L2","N","M2","L2","N","M1","N","L2","M2","N","L2","K","M1","N","L2","K","M2","L2","N","K","M1","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","18","18","L2","L2","L2","L2","L2","M1","L2","N","M2","N","L2","L1","N","L2","M1","N","L2","M2","N","L2","K","M1","N","L2","K","M1","N","L2","K","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","20","20","L2","M1","L2","M2","L2","M2","L2","M2","L2","N","M1","L2","N","L2","N","M1","L2","N","K","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","21","21","L2","M2","L2","L1","L2","L2","M1","N","L2","L2","L2","N","L2","N","K","O","O","O","N","L1","K","L1","L2","N","M1","L2","N","L1","L2","N","K","L1","L1","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","22","22","L1","M1","L2","L2","L2","M1","L2","M1","N","L2","L1","L2","N","M1","L2","N","K","L1","L2","N","K","M1","L2","N","M1","L2","N","M2","L2","N","K","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","23","23","L2","L2","L2","L2","M2","L2","N","K","M2","L2","N","M1","L2","N","K","M1","L2","N","K","L2","N","K","L1","L2","N","L1","L2","N","M1","L2","N","K","M1","L2","N","M2","L2","N","K","L1","L2","N","M2","L2","N","M2","L2","N","K","L1","L2","N","M1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","24","24","L2","L2","M1","L2","M1","M2","L2","N","M1","L2","N","M2","N","L2","K","M1","L2","N","K","M1","L2","N","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","25","25","L2","L2","L2","M2","L2","M2","L2","M1","L2","K","M1","L2","N","K","L1","L2","N","K","L2","N","N","N","K","L1","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","26","26","M2","L2","M1","L2","M1","L2","M1","L2","N","M1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","27","27","M1","L2","N","L1","N","L2","K","L1","L2","N","M1","L2","N","K","L1","L2","N","K","L1","L2","N","K","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec11_2020_0400","28","28","M2","M2","L2","N","M1","L2","N","M2","N","L2","M2","L2","N","L1","L2","N","M2","N","L2","M1","L2","N","M1","L2","N","K","L1","L2","N","K","L1","N","L2","K","L1","L2","N","M1","L2","N","K","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","31","31","L2","M1","L2","M1","L2","M2","N","L2","M1","N","L2","L1","N","L1","M1","N","L1","M1","N","L2","L1","L1","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","32","32","L2","M1","L2","M2","L2","M2","N","L2","M1","L2","N","M1","L2","L1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","K","M1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","33","33","M2","L2","M2","L2","M2","L2","N","L1","L2","N","L1","L2","N","L1","L2","N","L1","L2","N","L1","N","L2","L1","N","L2","K","M1","N","L2","K","M1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","34","34","L2","L2","N","M1","N","L2","M1","L2","N","L1","N","L2","M1","N","L2","L1","L2","N","M1","N","L2","M1","L2","N","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","35","35","M2","L2","M2","L2","M2","L2","N","M1","N","L2","L1","N","L2","L1","L2","N","L1","L2","N","L1","N","L2","L1","N","L2","L1","L2","N","L1","N","L2","M1","L2","N","L1","N","L2","K","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","36","36","M1","L2","M1","L2","M2","L2","N","M1","L2","N","M1","N","L2","L1","N","L2","M1","N","L2","M1","L2","N","L1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","L1","L2","N","M1","L2","N","K","L1","L2","N","K","L1","N","L2","K","L1","L2","N","K","L1","N","L2","K","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","37","37","L2","M2","N","L2","L1","N","L2","M1","N","L2","M1","L2","N","M1","L2","N","L1","L2","N","L1","N","L2","K","L1","L2","N","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","38","38","L2","M2","L2","M2","L2","L2","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","39","39","M2","L2","M2","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L1","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","40","40","M1","L2","M1","L2","M2","L2","N","L1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","41","41","M1","L2","M2","L2","M1","N","L2","L1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","42","42","L2","M1","L2","M1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L1","K","L1","N","L1","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","43","43","L2","L2","M1","L2","M1","L2","M1","L2","N","L1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","44","44","M1","L1","M2","L2","N","L1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","M1","L2","N","L1","N","L2","M1","N","L2","K","L1","L2","N","K","L1","N","L2","K","L1","N","L2","K","L1","N","L1","K","L2","N","K","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1200","45","45","L2","L2","L2","M2","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","47","47","L2","M2","L2","M1","N","L2","L1","L2","N","L1","L2","N","L1","L2","N","L1","L2","N","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","48","48","L2","M2","L2","N","L1","L2","N","L1","L2","N","L1","L2","N","L1","N","L2","M1","L2","N","L1","L2","N","L1","L2","N","K","L1","L2","N","K","L1","L1","N","K","L1","L1","N","K","L1","N","K","L1","N","K","L1","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","49","49","M2","L2","M2","L2","M2","N","L2","M1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","L2","N","L1","L2","N","K","L1","L2","N","K","L1","L1","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","50","50","M2","L2","M2","N","L2","L1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","L1","L2","N","L1","L2","N","L1","N","L2","K","L1","L2","N","K","L1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","51","51","L2","M1","L2","M1","L2","L2","M1","L2","M1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","L2","N","K","L1","N","L1","K","L1","N","L1","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","52","52","M1","L2","M1","L2","N","M1","N","L2","M1","L2","N","M1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","L1","L2","N","K","L1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","53","53","L2","N","L1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","M1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","54","54","L2","M1","L2","M1","L2","L1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","K","N","L2","K","L1","N","L2","K","L1","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","55","55","L1","N","L2","L1","N","L2","M1","L2","N","M1","N","L2","L1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","K","M1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","56","56","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","M1","L2","N","M1","L2","N","M1","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","L1","L2","N","K","L1","L2","N","K","L1","N","L2","K","L1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
